"dataset","pair","timeframe","start_date","end_date","total_bars","total_months","first_month","last_month"
"BTCUSDT_5m","BTCUSDT","5m","2017-08-17 12:04:59.999","2025-10-27 08:04:59.999",860222,99,"2017-08","2025-10"
"ETHUSDT_5m","ETHUSDT","5m","2017-08-17 12:04:59.999","2025-10-27 08:04:59.999",860222,99,"2017-08","2025-10"
"BCHUSDT_5m","BCHUSDT","5m","2019-11-28 18:04:59.999","2025-10-27 08:04:59.999",621495,72,"2019-11","2025-10"
"XRPUSDT_5m","XRPUSDT","5m","2018-05-04 16:14:59.999","2025-10-27 08:04:59.999",785831,90,"2018-05","2025-10"
"LTCUSDT_5m","LTCUSDT","5m","2017-12-13 11:34:59.999","2025-10-27 08:04:59.999",826335,95,"2017-12","2025-10"
"TRXUSDT_5m","TRXUSDT","5m","2018-06-11 19:34:59.999","2025-10-27 08:04:59.999",774847,89,"2018-06","2025-10"
"XRPUSDT_1m","XRPUSDT","1m","2018-05-04 16:11:59.999","2025-10-27 08:00:59.999",3929128,90,"2018-05","2025-10"
"ZECUSDT_1m","ZECUSDT","1m","2019-03-21 12:00:59.999","2025-10-27 08:00:59.999",3469291,80,"2019-03","2025-10"
"SUIUSDT_1m","SUIUSDT","1m","2023-05-03 20:00:59.999","2025-10-27 08:00:59.999",1306801,30,"2023-05","2025-10"
"ENAUSDT_1m","ENAUSDT","1m","2024-04-02 16:00:59.999","2025-10-27 08:00:59.999",824641,19,"2024-04","2025-10"
"FETUSDT_1m","FETUSDT","1m","2019-02-28 18:00:59.999","2025-10-27 08:00:59.999",3498810,81,"2019-02","2025-10"
"AVAXUSDT_1m","AVAXUSDT","1m","2020-09-22 14:30:59.999","2025-10-27 08:00:59.999",2678006,62,"2020-09","2025-10"
"BONKUSDT_1m","BONKUSDT","1m","2023-12-15 16:00:59.999","2025-10-27 08:00:59.999",981601,23,"2023-12","2025-10"
"BTCUSDT_1m","BTCUSDT","1m","2017-08-17 12:00:59.999","2025-10-27 08:00:59.999",4301049,99,"2017-08","2025-10"
"SOLUSDT_1m","SOLUSDT","1m","2020-08-11 14:00:59.999","2025-10-27 08:00:59.999",2738517,63,"2020-08","2025-10"
"ETHUSDT_1m","ETHUSDT","1m","2017-08-17 12:00:59.999","2025-10-27 08:00:59.999",4301049,99,"2017-08","2025-10"
"PEPEUSDT_1m","PEPEUSDT","1m","2023-05-06 02:00:59.999","2025-10-27 08:00:59.999",1303561,30,"2023-05","2025-10"
"BNBUSDT_1m","BNBUSDT","1m","2017-11-06 11:54:59.999","2025-10-27 08:00:59.999",4184834,96,"2017-11","2025-10"
"XRPUSDT_3m","XRPUSDT","3m","2018-05-04 16:11:59.999","2025-10-27 08:02:59.999",1309714,90,"2018-05","2025-10"
"ZECUSDT_3m","ZECUSDT","3m","2019-03-21 12:02:59.999","2025-10-27 08:02:59.999",1156434,80,"2019-03","2025-10"
"SUIUSDT_3m","SUIUSDT","3m","2023-05-03 20:02:59.999","2025-10-27 08:02:59.999",435601,30,"2023-05","2025-10"
"ENAUSDT_3m","ENAUSDT","3m","2024-04-02 16:02:59.999","2025-10-27 08:02:59.999",274881,19,"2024-04","2025-10"
"FETUSDT_3m","FETUSDT","3m","2019-02-28 18:02:59.999","2025-10-27 08:02:59.999",1166274,81,"2019-02","2025-10"
"AVAXUSDT_3m","AVAXUSDT","3m","2020-09-22 14:32:59.999","2025-10-27 08:02:59.999",892671,62,"2020-09","2025-10"
"BONKUSDT_3m","BONKUSDT","3m","2023-12-15 16:02:59.999","2025-10-27 08:02:59.999",327201,23,"2023-12","2025-10"
"BTCUSDT_3m","BTCUSDT","3m","2017-08-17 12:02:59.999","2025-10-27 08:02:59.999",1433693,99,"2017-08","2025-10"
"SOLUSDT_3m","SOLUSDT","3m","2020-08-11 14:02:59.999","2025-10-27 08:02:59.999",912841,63,"2020-08","2025-10"
"ETHUSDT_3m","ETHUSDT","3m","2017-08-17 12:02:59.999","2025-10-27 08:02:59.999",1433693,99,"2017-08","2025-10"
"PEPEUSDT_3m","PEPEUSDT","3m","2023-05-06 02:02:59.999","2025-10-27 08:02:59.999",434521,30,"2023-05","2025-10"
"BNBUSDT_3m","BNBUSDT","3m","2017-11-06 11:56:59.999","2025-10-27 08:02:59.999",1394954,96,"2017-11","2025-10"
"ZECUSDT_5m","ZECUSDT","5m","2019-03-21 12:04:59.999","2025-10-27 08:04:59.999",693863,80,"2019-03","2025-10"
"SUIUSDT_5m","SUIUSDT","5m","2023-05-03 20:04:59.999","2025-10-27 08:04:59.999",261361,30,"2023-05","2025-10"
"ENAUSDT_5m","ENAUSDT","5m","2024-04-02 16:04:59.999","2025-10-27 08:04:59.999",164929,19,"2024-04","2025-10"
"FETUSDT_5m","FETUSDT","5m","2019-02-28 18:04:59.999","2025-10-27 08:04:59.999",699767,81,"2019-02","2025-10"
"AVAXUSDT_5m","AVAXUSDT","5m","2020-09-22 14:34:59.999","2025-10-27 08:04:59.999",535604,62,"2020-09","2025-10"
"BONKUSDT_5m","BONKUSDT","5m","2023-12-15 16:04:59.999","2025-10-27 08:04:59.999",196321,23,"2023-12","2025-10"
"SOLUSDT_5m","SOLUSDT","5m","2020-08-11 14:04:59.999","2025-10-27 08:04:59.999",547706,63,"2020-08","2025-10"
"PEPEUSDT_5m","PEPEUSDT","5m","2023-05-06 02:04:59.999","2025-10-27 08:04:59.999",260713,30,"2023-05","2025-10"
"BNBUSDT_5m","BNBUSDT","5m","2017-11-06 11:54:59.999","2025-10-27 08:04:59.999",836979,96,"2017-11","2025-10"
"XRPUSDT_15m","XRPUSDT","15m","2018-05-04 16:14:59.999","2025-10-27 08:14:59.999",261948,90,"2018-05","2025-10"
"ZECUSDT_15m","ZECUSDT","15m","2019-03-21 12:14:59.999","2025-10-27 08:14:59.999",231291,80,"2019-03","2025-10"
"SUIUSDT_15m","SUIUSDT","15m","2023-05-03 20:14:59.999","2025-10-27 08:14:59.999",87121,30,"2023-05","2025-10"
"ENAUSDT_15m","ENAUSDT","15m","2024-04-02 16:14:59.999","2025-10-27 08:14:59.999",54977,19,"2024-04","2025-10"
"FETUSDT_15m","FETUSDT","15m","2019-02-28 18:14:59.999","2025-10-27 08:14:59.999",233259,81,"2019-02","2025-10"
"AVAXUSDT_15m","AVAXUSDT","15m","2020-09-22 14:44:59.999","2025-10-27 08:14:59.999",178537,62,"2020-09","2025-10"
"BONKUSDT_15m","BONKUSDT","15m","2023-12-15 16:14:59.999","2025-10-27 08:14:59.999",65441,23,"2023-12","2025-10"
"BTCUSDT_15m","BTCUSDT","15m","2017-08-17 12:14:59.999","2025-10-27 08:14:59.999",286748,99,"2017-08","2025-10"
"SOLUSDT_15m","SOLUSDT","15m","2020-08-11 14:14:59.999","2025-10-27 08:14:59.999",182571,63,"2020-08","2025-10"
"ETHUSDT_15m","ETHUSDT","15m","2017-08-17 12:14:59.999","2025-10-27 08:14:59.999",286748,99,"2017-08","2025-10"
"PEPEUSDT_15m","PEPEUSDT","15m","2023-05-06 02:14:59.999","2025-10-27 08:14:59.999",86905,30,"2023-05","2025-10"
"BNBUSDT_15m","BNBUSDT","15m","2017-11-06 11:59:59.999","2025-10-27 08:14:59.999",279000,96,"2017-11","2025-10"
"XRPUSDT_30m","XRPUSDT","30m","2018-05-04 16:29:59.999","2025-10-27 08:29:59.999",130979,90,"2018-05","2025-10"
"ZECUSDT_30m","ZECUSDT","30m","2019-03-21 12:29:59.999","2025-10-27 08:29:59.999",115650,80,"2019-03","2025-10"
"SUIUSDT_30m","SUIUSDT","30m","2023-05-03 20:29:59.999","2025-10-27 08:29:59.999",43561,30,"2023-05","2025-10"
"ENAUSDT_30m","ENAUSDT","30m","2024-04-02 16:29:59.999","2025-10-27 08:29:59.999",27489,19,"2024-04","2025-10"
"FETUSDT_30m","FETUSDT","30m","2019-02-28 18:29:59.999","2025-10-27 08:29:59.999",116634,81,"2019-02","2025-10"
"AVAXUSDT_30m","AVAXUSDT","30m","2020-09-22 14:59:59.999","2025-10-27 08:29:59.999",89271,62,"2020-09","2025-10"
"BONKUSDT_30m","BONKUSDT","30m","2023-12-15 16:29:59.999","2025-10-27 08:29:59.999",32721,23,"2023-12","2025-10"
"BTCUSDT_30m","BTCUSDT","30m","2017-08-17 12:29:59.999","2025-10-27 08:29:59.999",143382,99,"2017-08","2025-10"
"SOLUSDT_30m","SOLUSDT","30m","2020-08-11 14:29:59.999","2025-10-27 08:29:59.999",91288,63,"2020-08","2025-10"
"ETHUSDT_30m","ETHUSDT","30m","2017-08-17 12:29:59.999","2025-10-27 08:29:59.999",143382,99,"2017-08","2025-10"
"PEPEUSDT_30m","PEPEUSDT","30m","2023-05-06 02:29:59.999","2025-10-27 08:29:59.999",43453,30,"2023-05","2025-10"
"BNBUSDT_30m","BNBUSDT","30m","2017-11-06 11:59:59.999","2025-10-27 08:29:59.999",139508,96,"2017-11","2025-10"
"XRPUSDT_1h","XRPUSDT","1h","2018-05-04 16:59:59.999","2025-10-27 08:59:59.999",65497,90,"2018-05","2025-10"
"ZECUSDT_1h","ZECUSDT","1h","2019-03-21 12:59:59.999","2025-10-27 08:59:59.999",57831,80,"2019-03","2025-10"
"SUIUSDT_1h","SUIUSDT","1h","2023-05-03 20:59:59.999","2025-10-27 08:59:59.999",21781,30,"2023-05","2025-10"
"ENAUSDT_1h","ENAUSDT","1h","2024-04-02 16:59:59.999","2025-10-27 08:59:59.999",13745,19,"2024-04","2025-10"
"FETUSDT_1h","FETUSDT","1h","2019-02-28 18:59:59.999","2025-10-27 08:59:59.999",58323,81,"2019-02","2025-10"
"AVAXUSDT_1h","AVAXUSDT","1h","2020-09-22 14:59:59.999","2025-10-27 08:59:59.999",44639,62,"2020-09","2025-10"
"BONKUSDT_1h","BONKUSDT","1h","2023-12-15 16:59:59.999","2025-10-27 08:59:59.999",16361,23,"2023-12","2025-10"
"BTCUSDT_1h","BTCUSDT","1h","2017-08-17 12:59:59.999","2025-10-27 08:59:59.999",71701,99,"2017-08","2025-10"
"SOLUSDT_1h","SOLUSDT","1h","2020-08-11 14:59:59.999","2025-10-27 08:59:59.999",45647,63,"2020-08","2025-10"
"ETHUSDT_1h","ETHUSDT","1h","2017-08-17 12:59:59.999","2025-10-27 08:59:59.999",71701,99,"2017-08","2025-10"
"PEPEUSDT_1h","PEPEUSDT","1h","2023-05-06 02:59:59.999","2025-10-27 08:59:59.999",21727,30,"2023-05","2025-10"
"BNBUSDT_1h","BNBUSDT","1h","2017-11-06 11:59:59.999","2025-10-27 08:59:59.999",69764,96,"2017-11","2025-10"
